,AAPL,AMD,AMZN,ARKK,AXP,BA,BAC,BNTX,C,CRM,CSCO,CVX,DIS,GE,GEV,GOOGL,GS,HOOD,INTC,JPM,KO,LMT,MA,META,MRNA
2001-05-17,0.353478608628838,31.55,0.739,,27.7463023136958,45.1327359036975,14.6819784082318,,271.284174900952,,13.0006868545718,19.1977888856007,25.036024126107,137.779885785863,,,68.9988279361126,,16.2846951112216,23.5080112854111,12.0007582562345,20.3941818652662,,,
2001-05-18,0.353178414481383,32.49,0.736,,27.3334853721485,44.8440543540882,14.7857379729543,,272.193985706499,,13.2232565187488,19.5811024625555,25.1053333285478,140.106623446419,,,68.5057275833277,,16.375798300655,23.4931233745274,11.99327804124,20.4208061235759,,,
2001-05-21,0.353628705702566,34.4,0.819,,28.1403548488092,45.0671264606045,14.6534445279331,,275.940265494044,,14.9710829991973,19.4948067358065,26.3991051074422,141.190671674632,,,71.7813227839701,,17.0249085253681,24.1134529946828,12.0406527362054,20.8148451465602,,,
2001-05-22,0.3527281232602,33.99,0.8125,,28.8033638761428,44.6144213032626,15.2111521883165,,281.238575479286,,15.3703991613971,19.0793831209916,26.5685276022975,139.286977225087,,,72.7675234895399,,16.8142323998033,24.4012859384349,11.9184758912946,20.9000427731514,,,
2001-05-23,0.348675502269551,32.66,0.78,,27.9589655866141,43.3022324414019,15.2033702209623,,278.348588214609,,14.6372285029318,18.9007710353949,25.4980854757122,135.770430533565,,,69.949807187912,,16.3985740980134,23.8653211466206,12.1428823411307,20.7669214816026,,,
2001-05-24,0.348225211048367,31.95,0.8375,,27.8964175651676,42.7773568966576,15.5613407192549,,281.345612044645,,14.997267665571,18.92485356379,25.6444049030871,135.902631537006,,,70.3372431793858,,16.6320260209365,24.4856507667761,12.2401251360597,20.6870487066734,,,
2001-05-25,0.341620939804347,31.94,0.8545,,27.1020576927962,41.5504603108179,15.2293101121429,,277.54581397442,,14.4342973385352,18.9007710353949,25.1361374185214,132.068802437226,,,69.0058722268667,,16.569392578201,23.7561431334733,12.0107318762272,20.2344363154077,,,
2001-05-29,0.322258417293468,29.43,0.861,,26.5266158954878,41.681679197004,15.4601751436504,,276.154338624761,,13.3934568501782,19.1757132345719,25.1207353735346,131.328476817959,,,68.2450888254271,,15.8576489107525,24.0638266250704,12.0531197611963,20.3782073102803,,,
2001-05-30,0.296892011833479,27.95,0.783,,26.4390486654626,41.3667538701574,15.3927314265808,,271.765839445065,,12.437716527536,19.2339126781933,24.4738494840874,129.60986377323,,,66.7516991855644,,15.145905243304,23.7164420377833,11.93842313128,21.0118646580523,,,
2001-05-31,0.29944366208685,28.25,0.8345,,26.3452266332928,41.2617787612086,15.5158104291411,,274.281198730988,,12.6079168589654,19.2760571028847,24.3506331241926,129.556983371854,,,66.9912050712027,,15.3793571662271,23.974499159768,11.8187396913675,20.4458525478227,,,
2001-06-01,0.313552787017258,29.6,0.8475,,26.5078514890539,42.6461380104716,15.2146596781957,,277.224704278345,,12.3395240286344,19.3422840559711,24.4276433491268,129.556983371854,,,68.1182915918539,,16.3644104019758,23.8504332357369,11.9209692962928,20.5900254438246,,,
2001-06-04,0.31010055432152,27.61,0.8455,,26.7330243662615,43.3219152743298,15.3534508938488,,279.793581846947,,12.4769935270966,19.6734188214033,24.3506331241926,130.74679240282,,,67.9844500675266,,16.5750865275406,24.1481914534115,11.8611275763365,20.4778909691564,,,
2001-06-05,0.314303272385897,28.9,0.822,,26.6454571362363,43.9124002621671,15.6991195818904,,281.345612044645,,14.1004428422697,19.6071918683169,24.1427055168703,130.03290698424,,,68.5761704908684,,16.9281113865951,23.6568903942484,11.8735946013274,20.66478176027,,,
2001-06-06,0.311151233837615,28.37,0.7995,,26.195111381821,43.3678418844949,15.631033325155,,277.54581397442,,13.5898418479814,19.2981327539135,24.3352310792058,128.89597835465,,,67.3011538643818,,16.9793569306513,22.8479805695657,11.6566683664858,20.4992499167123,,,
2001-06-07,0.325110261694295,30.28,0.8065,,25.7447656274058,43.0725993905763,15.6074650055158,,275.244527819214,,14.2837355068861,19.2680295934197,24.7587873163439,129.31902156566,,,68.2591774069353,,17.730958243477,22.2574267711777,11.4995838516006,20.274980967376,,,
2001-06-08,0.320006961187551,31.1,0.785,,25.6384339909466,42.3771392937901,15.4581989811342,,272.675650250612,,13.4130953499585,19.3543253201687,24.5277566415413,127.283126112674,,,67.1743566308085,,17.4633426245163,21.5626575966036,11.4696629916224,19.9545967540385,,,
2001-06-11,0.3007945357504,30.05,0.743,,25.9011356810222,42.3180907950064,15.3822566178523,,269.732144703255,,13.3410875174307,19.5670543209917,24.265921876765,125.326551261752,,,64.8145192281952,,17.2697483469703,21.5527323226811,11.4522091566352,20.1628464927079,,,
2001-06-12,0.304847156741049,29.67,0.732,,26.1450729646638,43.1119650564321,15.4765298964091,,269.625108137896,,13.3345413508373,19.585116217288,24.2505198317782,128.948858756027,,,64.7088548668842,,17.1558693601786,21.2152730093165,11.4472223466388,20.146827282041,,,
2001-06-13,0.307248709920693,29.28,0.706,,25.9699385046134,42.9676242816274,15.4765298964091,,267.002712286615,,12.4508088607229,19.4767448395102,23.7191492797322,126.516360292718,,,62.8068963632853,,16.5466167808427,21.4137784877663,11.477143206617,20.0293530704839,,,
