,AAPL,MSFT,AMZN,PLTR,ORCL,HOOD,VOO,NVDA
2006-12-08,2.64951354544215,20.83623672736,1.923,,14.2965531524813,,,0.543334397356413
2006-12-11,2.66422305866747,20.9354569022522,1.9345,,14.5134109811987,,,0.552657434835665
2006-12-12,2.58587238618158,20.8574981934083,1.923,,14.4491568097269,,,0.547002477676119
2006-12-13,2.67322888309113,20.9425440576016,1.925,,14.4732521240288,,,0.553421618235604
2006-12-14,2.65821917571836,21.3110761357726,1.951,,14.4732521240288,,,0.563203165754819
2006-12-15,2.63330306147955,21.3961219999659,2.0005,,14.2001718952735,,,0.573137549954022
2006-12-18,2.56575937830207,21.1835073394827,1.963,,14.384902638255,,,0.583071934153225
2006-12-19,2.59097568668833,21.2543788929771,1.971,,13.7343291521028,,,0.591477951552551
2006-12-20,2.54444559383273,21.3252504464715,2.0005,,13.7343291521028,,,0.58475313763309
2006-12-21,2.48860948240601,21.2472917376277,1.9945,,13.7343291521028,,,0.579709527193495
2006-12-22,2.46759589208412,21.0063284557466,2.012,,13.7423609235368,,,0.565954225994598
2006-12-26,2.44688249590969,21.2543788929771,1.99,,13.7584244664047,,,0.565801389314611
2006-12-27,2.44718269005715,21.2756403590254,2.0145,,13.7343291521028,,,0.57329038663401
2006-12-28,2.42767007047254,21.2472917376277,2.0105,,13.8146468664426,,,0.569163796274341
2006-12-29,2.54684714701237,21.1622458734343,1.973,,13.7664562378387,,,0.565648552634623
2007-01-03,2.515626955677,21.1622458734343,1.935,,14.0636317808959,,,0.551434741395763
2007-01-04,2.57146306710372,21.1268100966871,1.945,,14.2001718952735,,,0.548836517835971
2007-01-05,2.55315122410894,21.0063284557466,1.9185,,14.1680448095376,,,0.51444826483873
2007-01-08,2.56575937830207,21.2118559608804,1.875,,14.3447437810851,,,0.518269181838424
2007-01-09,2.77889722299546,21.2331174269288,1.889,,14.3126166953492,,,0.508181960959233
2007-01-10,2.91188323031824,21.0205027664455,1.8575,,14.2724578381793,,,0.533247176477222
2007-01-11,2.87585993262359,21.7575669227875,1.87,,13.9672505236882,,,0.531260299637381
2007-01-12,2.84043702322384,22.119011845609,1.91,,14.0556000094619,,,0.538443623596805
2007-01-16,2.9148851717928,22.0835760688618,1.933,,13.8949645807824,,,0.539360643676732
2007-01-17,2.85034343008987,22.0410531367652,1.894,,14.0716635523299,,,0.528050729357639
2007-01-18,2.67382927138604,21.9701815832708,1.849,,13.7503926949707,,,0.484339438881146
2007-01-19,2.65671820498108,22.0481402921146,1.851,,13.8708692664804,,,0.487235693966913
2007-01-22,2.60538500576619,21.7717412334864,1.8475,,13.654011437763,,,0.487243335800913
2007-01-23,2.57266384369354,21.7859155441853,1.8215,,13.7503926949707,,,0.4873961724809
2007-01-24,2.60268325843909,22.0339659814157,1.863,,13.7664562378387,,,0.502527003799687
2007-01-25,2.58917452180359,21.5803880390514,1.854,,13.6379478948951,,,0.484950785601097
2007-01-26,2.56305763097497,21.6866953692931,1.8425,,13.7744880092727,,,0.480977031921415
2007-01-29,2.57986850323247,21.637085281847,1.8715,,13.8708692664804,,,0.461261100202997
2007-01-30,2.56816093148171,21.6016495050998,1.8525,,13.7825197807067,,,0.470125627642286
2007-01-31,2.57356442613591,21.8709614083786,1.8835,,13.7825197807067,,,0.468444424162421
2007-02-01,2.54384520553781,21.6583467478953,1.935,,13.6941702949329,,,0.474405054681942
2007-02-02,2.54414539968527,21.3961219999659,1.8695,,13.9913458379901,,,0.486784825760949
2007-02-05,2.51982967374138,20.9850669896983,1.858,,13.7825197807067,,,0.494732333120312
2007-02-06,2.52613375083794,20.9141954362039,1.9135,,13.670074980631,,,0.512308551318902
2007-02-07,2.58617258032904,20.8149752613117,1.949,,13.5817254948572,,,0.532330156397296
2007-02-08,2.58707316277141,20.7370165524678,1.955,,13.4210900661776,,,0.525452505797847
2007-02-09,2.49971666586186,20.5385762026834,1.936,,13.4130582947437,,,0.499011760159968
2007-02-12,2.54804792360219,20.5102275812857,1.9425,,13.3728994375738,,,0.510016001119086
2007-02-13,2.54264442894799,20.6307092222262,1.9655,,13.3488041232718,,,0.519644711958313
2007-02-14,2.56065607779532,20.9080610525146,2.007,,13.4692806947815,,,0.512767061358865
